iter	Passed	Remaining
724	1761	668
725	1763	665
726	1765	663
727	1767	660
728	1769	657
729	1772	655
730	1774	652
731	1776	650
732	1778	647
733	1780	645
734	1783	642
735	1785	640
736	1787	637
737	1789	635
738	1791	632
739	1793	630
740	1796	627
741	1798	625
742	1800	622
743	1802	620
744	1804	617
745	1807	615
746	1809	612
747	1811	610
748	1813	607
749	1816	605
750	1818	602
751	1820	600
752	1822	597
753	1824	595
754	1827	592
755	1829	590
756	1831	587
757	1833	585
758	1835	582
759	1838	580
760	1840	578
761	1842	575
762	1845	573
763	1847	570
764	1849	568
765	1851	565
766	1853	563
767	1856	560
768	1858	558
769	1860	555
770	1862	553
771	1864	550
772	1867	548
773	1869	545
774	1871	543
775	1873	540
776	1875	538
777	1878	535
778	1880	533
779	1882	531
780	1884	528
781	1887	526
782	1889	523
783	1891	521
784	1893	518
785	1896	516
786	1898	513
787	1900	511
788	1902	508
789	1904	506
790	1907	503
791	1909	501
792	1911	499
793	1913	496
794	1916	494
795	1918	491
796	1920	489
797	1922	486
798	1924	484
799	1927	481
800	1929	479
801	1931	476
802	1934	474
803	1936	472
804	1938	469
805	1940	467
806	1942	464
807	1945	462
808	1947	459
809	1949	457
810	1951	454
811	1953	452
812	1956	449
813	1958	447
814	1960	445
815	1962	442
816	1965	440
817	1967	437
818	1969	435
819	1971	432
820	1973	430
821	1976	427
822	1978	425
823	1980	423
824	1982	420
825	1985	418
826	1987	415
827	1989	413
828	1991	410
829	1994	408
830	1996	406
831	1998	403
832	2001	401
833	2003	398
834	2005	396
835	2007	393
836	2009	391
837	2012	388
838	2014	386
839	2016	384
840	2018	381
841	2021	379
842	2023	376
843	2025	374
844	2027	371
845	2030	369
846	2032	367
847	2034	364
848	2036	362
849	2039	359
850	2041	357
851	2043	355
852	2046	352
853	2048	350
854	2050	347
855	2052	345
856	2054	342
857	2057	340
858	2059	338
859	2061	335
860	2064	333
861	2066	330
862	2068	328
863	2070	325
864	2072	323
865	2075	321
866	2077	318
867	2079	316
868	2081	313
869	2084	311
870	2086	309
871	2088	306
872	2090	304
873	2093	301
874	2095	299
875	2097	296
876	2099	294
877	2102	292
878	2104	289
879	2106	287
880	2108	284
881	2110	282
882	2113	280
883	2115	277
884	2117	275
885	2119	272
886	2122	270
887	2124	267
888	2126	265
889	2128	263
890	2131	260
891	2133	258
892	2135	255
893	2137	253
894	2140	251
895	2142	248
896	2144	246
897	2146	243
898	2148	241
899	2150	238
900	2153	236
901	2155	234
902	2157	231
903	2159	229
904	2161	226
905	2164	224
906	2166	222
907	2168	219
908	2170	217
909	2172	214
910	2175	212
911	2177	210
912	2179	207
913	2181	205
914	2184	202
